Symbol,Company Name,Industry,Market Cap
APAM,Artisan Partners Asset Management,Capital Markets,2516516277
APCA,AP Acquisition,Blank Check / SPAC,172505862
APCX,AppTech Payments,Software-Infrastructure,12357741
APD,Air Products & Chemicals,Chemicals,58126870219
APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",44463469
APEI,American Public Education,Diversified Consumer Services,293594132
APEN,Apollo Endosurgery,Health Care Equipment & Supplies,265479412
APG,APi Group,Construction & Engineering,4065277933
APGB,Apollo Strategic Growth Capital II,Shell Companies,850424950
APGN,Apexigen,Shell Companies,356338913
APH,Amphenol,"Electronic Equipment, Instruments & C...",46182446463
API,Agora,"Electronic Equipment, Instruments & C...",589783420
APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3737757059
APLS,Apellis Pharmaceuticals,Biotechnology,6788260409
APLT,Applied Therapeutics,Biotechnology,35419815
APM,Aptorum Group,Biotechnology,55233000
APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,182250000
APN,Apeiron Capital Investment,Blank Check / SPAC,216271864
APO,Apollo Global Management,Capital Markets,34533001266
APOG,Apogee Enterprises,Building Products,930364073
APP,AppLovin,Software-Application,15187999375
APPF,AppFolio,Software,3778007832
APPH,AppHarvest,Food Products,413492640
APPN,Appian,Software,4007923046
APPS,Digital Turbine,Software,2321593200
APRE,Aprea Therapeutics,Biotechnology,22718680
APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,116166885
APT,Alpha Pro Tech,Building Products,61332287
APTM,Alpha Partners Technology Merger,Blank Check / SPAC,352368830
APTO,Aptose Biosciences,Biotechnology,81589849
APTV,Aptiv,Auto Components,27969767325
APTX,Aptinyx,Biotechnology,39965802
APVO,Aptevo Therapeutics,Biotechnology,21631272
APWC,Asia Pacific Wire & Cable,Electrical Equipment,27357697
APXI,APx Acquisition I,Blank Check / SPAC,216918739
APYX,Apyx Medical,Health Care Equipment & Supplies,359554422
AQB,AquaBounty Technologies,Biotechnology,112353319
AQMS,Aqua Metals,Commercial Services & Supplies,78103839
AQN,Algonquin Power & Utilities,Multi-Utilities,9673474037
AQST,Aquestive Therapeutics,Pharmaceuticals,48826559
AQUA,Evoqua Water Technologies,Machinery,4674819683
AR,Antero Resources,"Oil, Gas & Consumable Fuels",11032528327
ARAV,Aravive,Biotechnology,30823483
ARAY,Accuray,Health Care Equipment & Supplies,199060719
ARBE,Arbe Robotics,Software-Infrastructure,383581562
ARBG,Aequi Acquisition,Blank Check / SPAC,285487519
ARBK,Argo Blockchain,Capital Markets,256592030
ARC,ARC Document Solutions,Commercial Services & Supplies,123405118
ARCB,ArcBest,Road & Rail,2198415138
ARCC,Ares Capital,Capital Markets,10197211125
ARCE,Arco Platform,Diversified Consumer Services,879491158
ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2351419767
ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,218212489
